country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
australia,1949,2.7825,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1950,3.035,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1951,3.6325,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1952,4.2625,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1953,4.4475,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1954,4.48,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1955,4.58,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1956,4.8525,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1957,4.98,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1958,5.0375,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1959,5.13,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1960,5.325,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1961,5.46,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1962,5.45,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1963,5.47,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1964,5.605,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1965,5.8175,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1966,6,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1967,6.195,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1968,6.36,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1969,6.55,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1970,6.795,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1971,7.2,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1972,7.635,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1973,8.345,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1974,9.6175,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1975,11.0775,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1976,12.5525,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1977,14.1025,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1978,15.225,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1979,16.605,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1980,18.2975,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1981,20.055,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1982,22.305,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1983,24.5475,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1984,25.515,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1985,27.2375,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1986,29.71,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1987,32.23,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1988,34.57,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1989,37.1775,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1990,39.89,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1991,41.1725,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
australia,1992,41.5775,final,abs-cpi-quarterly-all-groups,A2325846C,CPI,September 2025=100,"ABS quarterly all-groups CPI for Australia, converted to calendar-year annual average from four final quarters."
