country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
bangladesh,1986,24.280003,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1987,26.677579,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1988,28.655126,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1989,30.387466,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1990,32.24922,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1991,34.29942,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1992,35.545888,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1993,36.617532,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1994,38.563292,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1995,42.534468,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1996,43.545567,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1997,45.855921,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1998,49.708844,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,1999,52.744412,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2000,53.909144,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2001,54.991194,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2002,56.823812,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2003,60.044987,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2004,64.600923,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2005,69.153103,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2006,73.831491,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2007,80.555314,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2008,87.726303,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2009,92.484115,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bangladesh,2010,100,final,worldbank-wdi-cpi-bangladesh,FP.CPI.TOTL,CPI,2010=100,Bangladesh annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
