country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
bhutan,1980,10.86,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1981,11.943,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1982,13.119,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1983,15.488,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1984,16.578,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1985,16.89,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1986,18.573,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1987,19.749,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1988,21.743,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1989,23.652,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1990,26.02,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1991,29.214,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1992,33.881,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1993,37.675,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1994,40.316,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1995,44.141,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1996,48.021,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1997,51.145,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1998,56.559,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,1999,60.392,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2000,62.815,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2001,64.96,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2002,66.555,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2003,68.267,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2004,71.07,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2005,74.845687,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
bhutan,2006,78.588311,final,worldbank-wdi-cpi-bhutan,FP.CPI.TOTL,CPI,2010=100,Bhutan annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
