country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
denmark,1900,100,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1901,100,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1902,101,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1903,101,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1904,102,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1905,102,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1906,103,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1907,106,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1908,107,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1909,108,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1910,109,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1911,109,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1912,113,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1913,116,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1914,119,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1915,140,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1916,165,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1917,191,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1918,223,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1919,264,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1920,315,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
denmark,1921,268,final,statbank-denmark-pris8,PRIS8,CPI,1900=100,Statistics Denmark PRIS8 annual consumer price index value.
