country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
iran,1960,0.141434,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1961,0.145907,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1962,0.14696,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1963,0.147506,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1964,0.153133,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1965,0.156432,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1966,0.155825,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1967,0.158314,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1968,0.159407,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1969,0.165135,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1970,0.167887,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1971,0.174931,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1972,0.186123,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1973,0.2044,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1974,0.233524,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1975,0.2636,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1976,0.293272,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1977,0.373299,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1978,0.417057,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1979,0.460795,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1980,0.555921,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1981,0.690473,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1982,0.819521,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1983,0.981296,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1984,1.104353,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1985,1.152827,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1986,1.365281,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1987,1.755361,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1988,2.258634,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1989,2.763431,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1990,2.974217,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1991,3.483658,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1992,4.382711,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1993,5.31196,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1994,6.982414,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1995,10.449601,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1996,13.473438,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1997,15.810975,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1998,18.635785,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iran,1999,22.376119,final,worldbank-wdi-cpi-iran,FP.CPI.TOTL,CPI,2010=100,Iran annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
