country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
iraq,1960,59.059851,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1961,59.600993,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1962,60.371254,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1963,62.758911,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1964,62.702342,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1965,62.416683,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1966,63.654542,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1967,65.749381,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1968,67.19355,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1969,71.049959,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1970,74.144607,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
iraq,1971,76.810766,final,worldbank-wdi-cpi-iraq,FP.CPI.TOTL,CPI,2010=100,Iraq annual Consumer Price Index from World Bank WDI / IMF International Financial Statistics.
