country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
ireland,1975,12.3,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1976,14.1,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1977,16,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1978,17.2,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1979,19.5,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1980,23,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1981,27.7,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1982,32.5,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1983,35.9,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1984,38.9,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1985,41.1,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1986,42.6,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1987,44,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1988,44.9,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1989,46.7,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1990,48.3,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1991,49.8,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1992,51.4,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1993,52.1,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1994,53.3,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1995,54.7,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1996,55.6,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
ireland,1997,56.4,final,cso-cpa01-cpi,CPA01C06,CPI,December 2023=100,CSO CPA01 all-items annual consumer price index value; official current open dataset starts in 1975.
