country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
netherlands,1900,100,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1901,106.1,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1902,103,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1903,103,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1904,106.1,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1905,106.1,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1906,106.1,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1907,107.6,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1908,110.6,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1909,109.1,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1910,112.1,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1911,113.6,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1912,115.2,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1913,116.7,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1914,116.7,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1915,133.3,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1916,148.5,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1917,157.6,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1918,187.9,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1919,204.5,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1920,225.8,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1921,195.5,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1922,174.2,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
netherlands,1923,166.7,final,cbs-cpi-1900,71905eng,CPI,1900=100,"CBS annual consumer price index, price index 1900=100."
