country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
sweden,1900,86,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1901,83.9,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1902,84.6,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1903,86,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1904,85,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1905,86.8,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1906,88.6,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1907,93.2,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1908,94.6,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1909,93.7,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1910,93.7,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1911,96.5,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1912,98.5,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1913,98.8,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1914,100.1,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1915,115,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1916,130,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1917,164,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1918,241,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1919,266,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1920,271,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1921,221,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1922,184,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1923,174,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1924,174,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1925,177,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1926,171,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1927,169,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1928,171,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1929,168,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1930,162,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1931,157,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1932,155,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1933,151,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
sweden,1934,152,final,scb-cpi-historical-annual,SCB-CPI-HISTORICAL-1830,CPI,July 1914=100,SCB historical CPI annual average value normalized from the official historical table.
