country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
switzerland,1914,100,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1915,113,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1916,131,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1917,163,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1918,204,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1919,222,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1920,224,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1921,200.25,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1922,163.9333,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1923,163.8167,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1924,168.7667,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1925,168.2167,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1926,162.15,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1927,160.2917,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1928,161.0167,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1929,161.2,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1930,158.425,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1931,150.1583,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1932,138.4583,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1933,131.4417,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1934,129.475,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1935,128.15,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
switzerland,1936,130.4083,final,fso-lik-yearly-long-series,LIK-EWIGE-REIHE,CPI,June 1914=100,Swiss Federal Statistical Office LIK app yearly long-series value.
