country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
united-kingdom,1900,9.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1901,9.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1902,9.2,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1903,9.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1904,9.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1905,9.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1906,9.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1907,9.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1908,9.4,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1909,9.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1910,9.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1911,9.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1912,9.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1913,9.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1914,9.8,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1915,11.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1916,13.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1917,16.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1918,19.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1919,21.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1920,25.3,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1921,23.1,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1922,19.9,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1923,18.7,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1924,18.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1925,18.6,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1926,18.5,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1927,18.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
united-kingdom,1928,18.0,final,ons-rpi-long-run-cdko,CDKO,RPI,Jan 1974=100,ONS MM23 CDKO annual long-run RPI value; used as UK price index source for MVP.
