country_slug,year,index_value,index_status,source_id,series_id,index_kind,base_period,notes
united-states,1913,9.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1914,10.0,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1915,10.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1916,10.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1917,12.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1918,15.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1919,17.3,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1920,20.0,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1921,17.9,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1922,16.8,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
united-states,1923,17.1,final,bls-cpi-u,CUUR0000SA0,CPI-U,1982-84=100,"BLS annual average CPI-U, U.S. city average, all items, not seasonally adjusted; period M13."
